# range:[-5, +5]
2.481252771577546312e+00,4.573856513092489084e-01
-2.265253921398910020e+00,-2.260718718852441356e+00
2.868907585131793780e+00,9.219435920234743120e-01
-2.893567200768846437e+00,-3.117546884116669137e+00
2.633168103715878505e+00,2.525425396559959346e-01
-7.240285265607585563e-01,1.304936385839218449e+00
-1.642428520166679728e+00,-1.944285325559756972e+00
-2.123153201243171750e+00,-2.242475583991257349e+00
2.940421135319786217e+00,3.003601362374184736e-01
-2.787848972753293797e+00,-2.268031649526178306e+00
-1.554089380841894519e+00,-2.196290083268582993e+00
3.033922473035698619e+00,1.957867994374759557e-01
2.916770007751884553e+00,5.598255021037714663e-01
-1.661986547275640547e+00,-2.065799009325173241e+00
-1.891220697964970165e+00,-1.113031795022968007e+00
-3.521048460902791000e+00,-1.987511381468117566e+00
-1.930641845156471303e+00,-2.462682516159643509e+00
-2.199435245441467845e+00,-2.521130783230664640e+00
3.251405523186938318e+00,2.196368570999735481e-01
3.116037125421629916e+00,3.103434096827370481e-01
-2.493044398358315927e+00,-3.024208013710293574e+00
-1.164521337649414567e+00,-2.388774913017885027e+00
3.015104279576325652e+00,4.653363790012732260e-01
-1.727492366705188243e+00,-2.814143010837364400e+00
-1.227057252664395470e+00,-1.924147045013568702e+00
5.563288373760788552e-01,1.325669501473605516e+00
1.181048918379990820e+00,-3.611140018567443044e-01
-2.065331558239857479e+00,-2.414836115756187951e+00
9.288828798951231924e-01,2.542180553877833593e-01
2.982940847025652431e+00,4.131307327136143903e-01
3.004282592029682508e+00,4.612155268988777923e-01
-8.096169106531447834e-01,7.322825039043114881e-01
-2.303976852913244056e+00,-2.442947276067286122e+00
2.954579443677211259e+00,2.388189272680555156e-02
-1.298251333499680582e+00,-2.321001916526547415e+00
2.888863478973996202e+00,-3.185142371853653676e-01
2.777954468296614632e+00,5.192141723374227302e-01
-1.766666566207497846e+00,-2.692885688160311819e+00
4.174576322124455285e-01,2.311614019226750638e-01
-1.776167592222124503e+00,-2.329825248192332499e+00
1.842285553449967139e+00,2.512280203417424640e-01
-2.089556295803071340e+00,-1.834810954521224113e+00
3.047098282076939668e+00,5.453540102854953497e-01
-1.943402664966172200e+00,-2.107449341141946597e+00
-2.217751987096892030e+00,-2.616843549792308377e+00
2.985935095593789779e+00,4.008699164190710484e-01
3.173767312825846343e+00,1.587720725048527848e-01
-2.031225522583529841e+00,-2.360351396096270093e+00
-1.832741500699840431e+00,-2.803349669881173511e+00
-1.949656033384164600e+00,-1.679803903334458726e+00
2.054487726033958683e+00,2.326222810162189791e+00
3.128451443465479098e+00,6.553258644011626943e-01
1.580291192533489486e+00,-3.861371834603722908e-01
2.655336643884636416e+00,5.499437667766566840e-01
2.911467375422086334e+00,3.744373111610817539e-01
3.209231823501882186e+00,3.258730210796571547e-01
-2.289898559925926114e-01,4.409164507127481536e-01
2.867327934098109932e+00,3.845314767770827147e-01
-2.083107328768596389e+00,2.428599585999308363e+00
-7.848112507537645666e-01,-9.788508567544594863e-01
3.030136888400063455e+00,3.459431101855633406e-01
3.213215341369882516e+00,1.240685499264621017e+00
2.937921359876686456e+00,2.674095944005479564e-01
9.784609871174043683e-01,1.476226620000970283e-02
3.098238740866324559e+00,1.381085198477252918e-01
1.120800226918759579e+00,1.198891907566767889e+00
1.077500100992653476e+00,-5.196001996661421263e-01
-2.500530787461783699e+00,-2.588193018392517253e+00
7.030891424971864589e-01,-1.697165211773361992e+00
9.668332909281565080e-01,4.287043062854176689e-01
2.547672512136944789e+00,-2.170338530140700328e+00
3.179492159232809811e+00,-2.594795898976061041e-02
-2.513092830514870091e+00,-1.104251123748202446e+00
2.887521946263881478e+00,4.598820277757942332e-01
-1.988741085305764322e+00,-2.138961974107265629e+00
-1.214030124522323506e+00,6.915534557739090593e-02
3.048407399568289211e+00,3.856777623739948702e-01
3.218037909161453047e+00,2.222184047940706508e-01
-1.716498140514420012e-01,-1.226943004430849582e+00
-4.334657949991008730e-01,5.511764681875042093e-01
3.080134045327937442e-01,-6.498831480251594517e-01
2.903032837130338883e+00,3.194260219696674064e-01
2.798748706872098424e+00,4.317457919339519057e-01
6.507849607911292411e-01,-3.803232868727402516e-01
-3.720219055788546725e-01,4.923818543568938000e-01
-2.910380376940824743e+00,-2.165308948982288317e+00
1.342334456262473941e+00,-1.435158394748945687e+00
8.172618679973599545e-03,8.821699754791482162e-01
3.323823046617672361e+00,1.064240404311099786e-01
-2.523441669832234169e+00,-2.297274828024099325e+00
3.369529429949321475e+00,6.511759241203559645e-01
-1.641939856883829707e+00,-2.117273865085530726e+00
2.664764968663437372e+00,4.036143405205630530e-01
-1.725726441584197079e+00,-1.889490955209399914e+00
3.073286883322294383e+00,6.344200008177877104e-01
2.451350187322885787e+00,9.218558345780184515e-01
-2.990534094628905848e+00,-2.537062531660568609e+00
-2.742125007359732081e+00,-1.405720746876268468e+00
-1.873545757640066256e+00,-2.851286021628778755e+00
2.917959188404470439e+00,7.093397946789724573e-01
3.340844721559543817e-01,1.102445563544869778e+00
7.551413020960898725e-01,-8.603317969182893155e-01
3.091659094398477414e+00,4.653878895786651704e-01
2.927636350080774719e+00,4.938260390229100572e-01
1.009112856796392288e+00,3.399354945923811488e-01
2.615613366758609448e+00,1.670319853850974756e-01
2.892030608449538409e+00,6.313813830971644336e-02
2.845869081527310662e+00,1.423372498485268589e-01
-8.449223337401758904e-01,3.312998744690870967e-01
2.829231476088662767e+00,4.553833507566160677e-01
-2.045903754246394257e+00,-1.807143883007474416e+00
1.479671375997926752e+00,9.283308604953384169e-01
-2.217336253391756440e+00,-1.731060992605699456e+00
-2.085127522728638549e+00,-2.442011700518777584e+00
-1.234862670075244639e-01,3.734956021839185958e+00
-2.049732700388350093e+00,-2.399062896481335638e+00
3.335539057716998546e+00,5.339560900723893111e-01
1.855357927635274962e+00,-1.176328360945734230e+00
2.895181044570690698e+00,2.656891269844420811e-01
-2.303731524248336715e+00,-3.103114222242285170e+00
-1.985031036730023457e+00,-2.589420207361706971e+00
2.042280594262935178e+00,1.546794010017207510e+00
-1.684372152859846983e+00,-2.277430522104750832e+00
-9.501566149245453952e-01,-5.349847051224904115e-01
-1.011654564650117827e+00,-1.566398252636054700e+00
6.357984714294641071e-01,2.806856726707739558e+00
-8.820929578275712446e-01,1.914051698806710222e+00
1.703366582319233213e+00,5.924341301508454505e-01
-1.180786564147258799e+00,-3.297218811668158001e+00
-1.375182895677076411e+00,-2.024400792813401573e+00
3.009999864502090894e+00,5.086659259642304365e-01
2.441271529935321594e-01,-4.809667763847847999e-01
-2.369031560474133880e+00,-2.449391340803991568e+00
-2.995639334826628808e+00,-2.206690557314059387e+00
-4.534009023496656798e-01,-7.216399835565933119e-01
3.174905562443673723e+00,6.245525107834718481e-01
-2.441386536157470477e+00,-2.676142362579194245e+00
1.680572376268917534e+00,4.004620232429157989e-01
3.053814325485981751e+00,3.703954363372565228e-01
-1.022567556101400710e+00,-1.816139607752538174e-02
6.630513045633152913e-01,-8.495289374357385681e-02
-2.743108165172624791e+00,-1.952227159888788366e+00
-1.097983978437298225e+00,-3.340562038657543642e+00
1.523752268149965339e+00,1.343157008141203201e+00
-1.667608476821677455e+00,-2.837253936375293328e+00
-2.916480251006142166e-01,-9.332433747291861703e-01
3.301678598646193397e+00,4.942177934616835688e-02
-1.670507879349109270e+00,-1.971313740210490106e+00
2.741485095528087612e+00,5.178366857582950011e-01
2.844667113111616796e+00,6.218261864544143425e-01
-1.899037293880947219e+00,-3.026284610906754935e+00
8.331341027227149310e-01,1.498677163495530096e-01
2.867238110673290929e+00,2.572742403886816298e-01
-1.659592356740616115e+00,-2.951970587202551233e+00
-1.458130993378324414e+00,-2.340810195290097262e+00
-2.091959088454186766e+00,-2.152406727733094716e+00
-6.809467387671094274e-01,-5.338963507234153472e-01
2.410597018365958633e+00,8.384898191156536784e-01
3.021727974373220604e+00,3.186311235016995314e-01
-1.645378767035741818e+00,-1.875949169872340061e+00
1.637732617267417368e+00,6.180394413383486496e-01
-2.046525337305868941e+00,-2.160665967802898546e+00
3.511333364897738285e+00,3.672126278661361209e-01
7.037426716091927936e-01,2.770702090889076263e+00
-1.296137254104204883e+00,1.711282698907318212e+00
-1.167293781909504835e+00,-2.885589664363429563e+00
-1.695340520546067431e+00,-2.790671533670305404e+00
1.176264285892791417e+00,1.724962348316047223e+00
1.229451076387151787e+00,5.146875927688826513e-01
2.803293195753583600e+00,2.219323570494329267e-01
-2.786440464103236536e+00,-1.862114322337968808e+00
-1.418314297835981952e+00,4.440701804417835907e-01
-2.678139583426553116e+00,1.003830213885300582e+00
-1.944306952487083073e+00,-2.526699646012011691e+00
-1.085584545544736157e+00,5.382201145406040332e-01
-1.162743488097184974e+00,-1.871653341542709681e+00
-2.459831813897522812e-02,-1.101242391614236427e+00
-2.145549533938563513e+00,-2.435615372399978273e+00
3.345398640655565359e+00,2.706722526895675718e-01
-1.631537759848890934e+00,-2.717374763018539863e+00
2.833622554007397820e+00,4.022460441149739441e-01
-1.143666186324490130e+00,-2.014813626049444917e+00
1.280046337024292491e+00,-8.561098501403288097e-01
-2.329091683393419654e+00,-3.173725185961962847e+00
3.000892863473503258e+00,2.232373783054382721e-01
9.134045212124742852e-01,1.639196342251241667e+00
1.100840936191197050e+00,-3.900270577033330688e-01
3.113739401125629414e+00,7.066917186834745790e-01
-1.996220819203473829e+00,-1.784943001483716429e+00
1.593364226210007839e-01,8.335601469732050184e-01
1.015717835702956151e+00,-5.045370065137901872e-01
-9.802168313507734210e-01,1.986370441463332304e+00
-1.326594697113882448e+00,-1.947993942564067993e-01
3.072133188145789173e+00,3.704955341762311005e-01
-3.021590580835906259e+00,-3.082347553309422228e+00
2.935481089453180759e-01,6.685742527034730376e-01
-1.613565334401284579e+00,-5.826632689371379764e-02
1.881083869758187754e+00,8.269691380017418769e-01
2.794436281444105052e+00,6.499140928736439893e-01
-1.703141128407502869e+00,-2.323552464940985107e+00
2.895587256591207304e+00,5.288733737408571889e-01
2.743296044283781043e+00,4.265112231247110142e-01
2.731285485111677236e+00,2.584127148779061245e-01
-8.482027524418314646e-02,-6.921312189552800698e-01
2.895086716195216514e+00,4.656260366878142709e-01
-2.083779625011970005e+00,-2.372295345933834732e+00
-1.439917846576058702e-01,4.650788386693704979e-01
3.439856594324624872e+00,2.110895855323561554e-01
-1.543662560996030608e+00,-2.730572258561689836e+00
1.295530974543647185e-01,-5.823685971778735926e-01
-3.569493945431480575e-01,1.947187388525682072e+00
1.868207544670395404e+00,-1.003912442027947494e+00
2.296595541307461588e-02,1.104346283651220118e+00
2.970221944096404165e+00,5.407682014741580501e-01
3.018675684878941556e+00,3.360498301293745049e-01
-1.191624379049735394e+00,-2.150500736828568904e+00
1.237609730243321549e+00,1.386834758099184661e+00
-1.663855199714297184e+00,-2.663494574034471984e+00
-2.957687215832124572e+00,-3.114354103064931323e+00
-2.013606520612364115e+00,-2.538949412762002478e+00
-2.836169602585814964e+00,2.314112981765756027e-01
-1.929472217543003687e+00,-2.290099701382716013e+00
-1.812724466754905839e+00,-2.409961348497773770e+00
-8.697924035850128632e-01,-9.046799259034976615e-01
3.138279794606932516e+00,4.449788738742706529e-01
2.877572088938860073e+00,1.200216009286188615e-02
4.290132618773450646e-01,1.503182597715331470e+00
-1.679816009346158268e+00,-1.966359543101063645e+00
-1.268775025664267586e+00,-1.261705783688218840e+00
3.329952344684921073e+00,2.284098722935497816e-01
-1.165077893779673301e+00,-5.167082180555194748e-01
2.890979947073638812e+00,4.366455871662277000e-01
2.949620632698215950e+00,4.621270134178361855e-01
-2.484834301264201351e+00,1.114242586506917432e+00
3.089322625989423532e+00,3.170686689413307335e-01
2.985349439843108410e+00,4.659652536059047390e-01
-1.426940745377170305e+00,-2.052168609839280400e+00
-1.700526417663863921e+00,-1.285926146273324688e+00
2.947581952683294926e+00,1.581124662094134103e-01
-1.950455932965889039e+00,-2.695114691651701033e+00
3.045716455386880295e+00,7.774682542299772292e-01
2.966394058628009756e+00,-1.487978537316385907e-01
-1.821468014928572021e+00,-2.053223785349185704e+00
-1.633668621279375399e+00,-2.450969277551683145e+00
-1.707750906795465484e+00,-2.014047405291596871e+00
2.336675038086532652e+00,1.505227113399389693e-01
1.400901901920103831e-01,-1.180724437287810735e+00
-2.214775528511539360e+00,-2.563251440988634222e+00
-7.784199507479534486e-01,1.439253990502575853e+00
2.883659091816097586e+00,6.491594511312228644e-01
2.836840137533423789e+00,5.981701691140214883e-02
3.223566004774697458e+00,2.079759846776858268e-01
-3.062021032442916457e+00,-3.140620076635389335e+00
-2.437111851179253552e+00,-2.619811267616098505e+00
2.936935616427863494e+00,5.158607404408380726e-01
3.250171876279575489e+00,1.877356772399303431e-01
3.180286758516582601e+00,-1.079253726146295195e-01
-2.484321535981010243e+00,-1.747196664677890920e+00
2.837973772417981877e+00,5.970225409661784610e-01
1.242594931875910191e+00,-2.134600416295250103e+00
3.024766334134837198e+00,3.940850094833183714e-01
2.873569353489878520e+00,3.049244135232924702e-01
-2.896634178352246014e+00,-2.619620735587925520e+00
5.826643910244644342e-02,4.116325055058467353e-01
-1.134105512488026823e+00,-1.538210796251964496e-01
-1.346984189080041139e+00,-3.005333713847885280e-01
2.766248960410282898e+00,4.951098606984768447e-01
3.197101235920960516e+00,3.033481939433581021e-01
-3.017862589264695306e+00,-2.271055844105168919e+00
-7.081459504708302877e-01,1.269831615245717416e+00
-6.687969249801115623e-01,-8.255253564456840332e-01
2.969829411026589039e+00,2.976593930979333225e-01
4.606496736996329999e-01,2.310317254927921837e+00
3.199751115028858450e+00,2.546117609073906274e-01
-4.569029622573268085e-02,1.747514577740136410e+00
-2.445467016239061042e+00,-2.185813343468155256e+00
-1.806356094888227792e+00,-2.499505386921321293e+00
2.529112782174913199e-01,1.414458152419602877e-01
-1.566972452277859640e+00,2.425584418033014611e+00
2.923033042529519676e+00,5.962765701250346551e-01
3.287354318477014203e+00,3.773524100799264258e-01
-2.106073554552684524e+00,-2.091139959295648776e+00
-2.613818784605104639e+00,-1.889149795256222397e+00
8.109811406916490606e-01,3.745622891503254670e-01
2.979212843153242751e+00,-1.409079171840828823e-03
-9.778795946199545508e-01,-2.810723818321014811e+00
-2.065865606857974601e+00,-1.935021664032711808e+00
3.184519527079587853e+00,4.701533469158120648e-01
-2.203108431571845216e+00,-2.515060855505081516e+00
-1.682544384898016387e+00,-2.120673137665966212e+00
-2.442824167007557001e+00,-2.270906617794840709e+00
2.950293390087176615e+00,3.211096206508175510e-01
-1.751332781556981466e+00,-1.171050189564824651e+00
3.056468629275523874e+00,4.745837931771505480e-01
2.903958826059008569e+00,7.899392731289125447e-01
-1.030912225634281754e+00,3.657737382267685078e+00
2.795264717845935998e+00,7.983721610702243510e-01
-1.865874100890567266e+00,-7.631196458517410797e-01
2.845980053812153798e+00,1.819224041589906360e-01
-1.371281505240995457e+00,7.921684634077970077e-01
2.975768570599131468e+00,4.649926463012269973e-01
-1.142887862365649099e+00,-2.136469168957716214e+00
2.765535917365994578e+00,4.187829455409282087e-01
8.195322223201835232e-01,2.284791818887950132e+00
-1.864032637452097019e+00,-1.751232680945242093e+00
1.518796613238555970e+00,-3.425597607892982288e-01
3.939171234405512423e-01,1.006352822074180864e+00
2.961498576182721720e+00,3.579086934728902269e-01
2.459865241021504806e-02,-1.780627856556730448e-01
-1.437640129307452108e+00,-3.033369173695577015e+00
2.682821279098896117e+00,4.210090329310351431e-01
3.089884697944947689e+00,1.681140246871660471e-01
-3.171099750272985962e-01,-1.002570421507216203e+00
-2.792939298019262218e+00,-2.062878064711156423e+00
3.039540967867796706e+00,8.002998852719003242e-01
-1.603051382155267657e+00,-2.802377803556723723e+00
-1.418933960984391840e+00,-2.034038834673312035e+00
1.386670781681790920e+00,-1.627946614424461425e+00
-1.595052746946757027e+00,-2.968805200946531553e+00
3.402234132624873286e+00,2.241527687539490721e-01
3.241237129286905549e+00,-2.176151624046479896e-02
-1.750186258379239357e+00,-2.276755332164039469e+00
3.138417181887931395e+00,3.015705274308465578e-01
-1.758819604441264950e+00,-1.418087730118160250e+00
-2.142710778986112174e+00,-2.136535678139537708e+00
3.297472296744860198e+00,4.278443203517354743e-01
2.988885283399862036e+00,6.602048975133983921e-01
3.450124557666769842e+00,3.165955210313685653e-01
-1.976918545287373874e+00,-2.308774153972052989e+00
-1.680341254368656889e+00,-2.027306019886038424e+00
2.965497963913491741e+00,3.754198079991081238e-01
-1.803862396847106364e+00,-2.233558867801382242e+00
-1.969628009894310194e+00,-2.475626423284424060e+00
2.801708660228644732e+00,3.513479591776765276e-01
2.549646865016085950e+00,4.554610455717444939e-01
-1.531591282184543878e+00,-2.949869044332135370e+00
-2.570716829651532809e+00,-2.422866142729934502e+00
-1.214267259636741259e-01,3.327649105930661211e-01
-1.224376196683354845e+00,6.959599135531199243e-01
5.491425580758232394e-01,7.277931722691274308e-01
3.047028608076420397e+00,3.708612557849798042e-01
-2.768233303812400514e+00,-2.642135661752064379e+00
-3.280056820992821365e+00,-2.389370629296099224e+00
2.081933935840650229e-01,-5.951431499407429104e-01
2.882120078438799471e+00,4.160463081274706210e-01
2.242316881156488861e+00,-1.968320846026953896e+00
-1.495517167814869541e+00,-2.565405902331936439e+00
-1.602428926322240654e+00,-3.099529030275459895e+00
-2.082384516035570510e+00,-1.901594704455951579e+00
2.759453877232088459e+00,5.080293314709031227e-01
-1.764151381428192389e+00,-2.035771940133539903e+00
3.187516018894971825e+00,4.398748227492365048e-01
9.457585975555086177e-01,1.091771350917408290e+00
-4.646030333571393722e-01,1.341187618730640851e+00
2.873414195591980747e+00,2.963843371457287046e-01
3.235260161524611822e-01,7.885211620910929087e-01
5.139040599533528653e-01,1.052844676594512308e+00
3.195503201858762132e+00,1.055803322215564527e-01
-1.623387366471298998e+00,-2.803209672856453061e+00
-2.002481119916235563e+00,-1.395674955905229497e+00
-1.385465448348632000e-01,3.735290298099043782e-01
8.307513980508472728e-02,-1.883050179598255047e+00
3.216161305943839643e+00,6.053574254682244637e-01
1.866262586893073339e+00,-5.161988289045099654e-01
-1.472053806601405945e+00,-1.858675142396902569e+00
3.331372241012170221e+00,3.178003443543398476e-01
-1.718138603652695107e+00,-2.254766245622668031e+00
-2.688697890445591376e+00,-2.949846266311216603e+00
2.843035262016995635e+00,4.881820111879264790e-01
2.780728651423409303e+00,8.412857301079053329e-03
1.695594769516645339e+00,-1.335719041045082101e+00
3.329424334565775467e+00,3.093581307691721793e-01
-1.952117610724428687e+00,-1.952836963299046324e+00
-2.234794959758855004e+00,-2.384222988973882185e+00
-2.110406044110658019e+00,-2.078822513788278314e+00
-1.735166899171062482e+00,-2.313709521973855487e+00
-1.450977193494703332e+00,-2.426754094594627098e+00
1.235627702096063985e+00,-4.227427385116981906e-01
-2.162628259867057867e+00,-1.902228571853129990e+00
8.330445622997519894e-01,-1.347211926921468628e+00
2.934599237719693221e+00,3.065964699281474304e-01
2.866527234930897006e+00,1.784861722518929494e-01
-1.814452740803482289e+00,-2.222108761288381196e+00
-8.672145667929831436e-01,3.499695461479351843e-01
-6.885588106319507906e-01,1.286150187829737668e+00
1.687440054938280642e+00,5.950539329653311560e-01
-1.355515552575921268e+00,9.842519601747944380e-01
-6.708323064018554271e-01,-4.120728853662183333e-01
-2.149412496455445964e+00,-2.242015863486084282e+00
3.241103189884646518e+00,1.096118283755378488e-02
3.233758347875355099e-01,1.461705461552544438e+00
1.071110374042533842e+00,-7.351610333459899227e-01
-1.010453267756345808e+00,-8.294765872948608454e-01
2.925384540735548544e+00,4.186880297746304325e-01
2.867780330124635846e+00,6.243725033905913602e-01
-1.684122721315998383e+00,-2.278487201943941276e+00
2.982530674210589705e+00,8.305115241187389641e-01
-2.125551371772741671e+00,-1.717735951028363850e+00
-2.866669774416563232e+00,-2.541067837951593411e+00
2.898987061569616053e+00,2.178454442089423071e-01
3.042130047224224310e+00,2.658405375275457172e-01
3.115503442370870069e+00,4.831276286452604318e-01
-4.533092502578275895e-01,-1.243023239915648892e+00
-1.350408868950486951e+00,1.538602808648587228e+00
-1.947992207773781459e+00,-1.938672208398776187e+00
3.332216905725073897e+00,3.953543148698244192e-01
2.696110715844107553e+00,3.630000365147921237e-01
-2.150389656349628531e+00,-2.268078565345811537e+00
3.027659734876549713e+00,4.661097905119044871e-01
-1.898373672799489764e+00,-1.395053282181596854e+00
-1.898404127425741938e+00,-2.682705774732102810e+00
3.121329881593395417e+00,2.628447211307574638e-01
3.409380650251322198e+00,-2.121590261332205740e-01
-1.195285546866797333e+00,-3.452378445263167839e-01
-2.671028085190546797e+00,-2.486603534327750165e+00
-2.150219649057887039e-01,1.851934068886381901e+00
2.827485277071025482e+00,2.367765936776182190e-01
-2.730959887059434266e+00,-2.241185350926323316e+00
-2.081709639957435076e+00,-2.596665312651037727e+00
2.524967813275169615e+00,2.889282029307597699e-01
2.874589197930057960e+00,5.559834868705301192e-01
2.769809685501828156e+00,6.652322970514471523e-01
-2.403429915739720091e+00,-2.302510909291849206e+00
3.407583238882569532e+00,6.117548959582095325e-01
3.012278478562876671e+00,4.285389218283059409e-01
2.995084580383434059e+00,5.422231228842687711e-01
5.677510049026438521e-01,-1.469142690515505167e+00
2.593922273491612973e+00,5.817481168383085155e-01
3.216417771316891994e+00,4.826805177079689924e-01
-1.828905319284388264e+00,-3.082515415489576860e+00
3.291633630268104405e+00,3.910386642862348494e-01
1.977605457590722704e+00,-7.882601721923402360e-01
-1.754270181684353336e+00,-2.729274688233833235e+00
-2.490563034985350477e+00,-2.244482990931977895e+00
1.079498473300338102e+00,-2.172708004830729012e-01
-6.502789983706722676e-01,2.452444440459206287e+00
-1.920756530701218878e+00,-1.766582612017944420e+00
-8.499641138236887494e-01,-8.486198155525440656e-01
-2.125578766348754201e+00,-1.207773455151919473e+00
-2.039535661814572354e+00,-2.627412655336816005e+00
3.015737785705403073e+00,1.479919626561544133e-01
3.388949117988209192e+00,5.533809673259688644e-01
1.134827920233787202e+00,3.890572945009997952e-01
-2.263499547823634384e+00,-2.654589517110026442e+00
-9.037533260430082871e-01,-5.765326924262497155e-01
2.745076549843024072e+00,2.781449955953549380e-01
-2.324394246242071915e+00,-1.976706150339385681e+00
-1.444733153963907446e+00,2.669293890114691759e-01
-1.509245366966342816e+00,-1.375835186516038311e+00
2.804334413424183658e+00,3.459022681942265920e-01
-2.357922967208551768e+00,-3.079739372659503260e+00
3.351330641466628624e+00,3.038487390132309507e-01
3.040208423212257483e+00,2.527886035850323565e-01
-2.677196999313667281e+00,-2.544599920646847924e+00
-1.673188860815678636e+00,-2.496967847955164022e+00
2.997117494269287086e+00,2.694964889101846839e-01
3.822781700860790055e-01,6.227317734612518585e-01
3.155446443288011604e+00,6.090671191537276874e-01
-1.205520694386367914e-01,-2.840819086805318472e-01
3.183521831951277026e+00,3.680980373310088760e-01
2.952414833814291484e+00,5.143377964122729518e-01
-9.103894901978971665e-01,2.879442405556250639e-01
2.976091887455231788e+00,4.830775872076177868e-01
3.160707864845086146e+00,5.042298914018592537e-01
-2.241480028178485906e+00,-2.525618723294078993e+00
-1.877569399620526047e+00,-1.675778009582761907e+00
-6.834866501787720816e-01,1.012254311990046896e+00
-1.108046256225649229e+00,7.902998913672484305e-01
-2.343295570670966832e-01,1.847041215194139274e-01
2.827180772740143677e+00,3.404244733842375914e-01
2.841840559380476083e+00,3.319040867753428325e-01
5.891882953923572863e-01,1.136644900921991219e+00
-2.523925961461865430e+00,-2.554225415799561194e+00
-2.015633875503463734e+00,-1.684624891589441953e+00
2.102289680044129305e+00,-3.814947509467165321e-01
3.579548636897770808e-01,2.406648328088813737e-01
2.643310850794281297e+00,5.465852950599888738e-01
1.856258244407109348e-01,-6.861054559142583109e-01
8.908035505604924298e-01,-9.868635706322499701e-02
-2.933063950692081256e+00,-2.651297332991395361e+00
1.949884794597809556e-01,-7.633168637993407168e-01
1.331228710022826833e+00,8.224633749813204942e-01
-2.246982970726229656e+00,-2.475810447528552949e+00
2.899005549201440157e+00,3.608786116758213591e-01
2.736827927288883799e+00,6.987488295679195049e-02
-2.040517617498045944e+00,-2.134555066730852158e+00
-3.980286730080063728e-01,1.396589165365922369e-01
-2.339308274010349908e+00,-2.071715712307650392e+00
-1.940099344571852846e+00,-2.367774159980862603e+00
6.719978359537545076e-01,-9.979789895876793882e-01
-1.865962249414514940e+00,-2.182379468542897438e+00
3.036104397208816419e+00,3.100933650286010757e-01
-1.774798518584754348e+00,-2.262842683551431477e+00
3.141295897643271218e+00,6.382059295913620200e-01
-2.727976150674504829e+00,-1.854880524551922649e+00
2.889609700442481444e+00,2.829026814984370586e-01
3.050264069248728838e+00,4.720554710189161368e-02
3.437073012865748733e+00,7.033334181286536591e-02
1.646394034938982509e+00,2.542714638788779347e+00
2.986829407333227326e+00,1.009807252686295287e-01
-2.162298972725062107e+00,-2.682958918313218977e+00
-3.113591467898569665e+00,-1.819940493392485426e+00
-2.978087724749280074e+00,1.915100226891950363e+00
5.256186792119668105e-01,-2.975174705085938953e-01
-1.890411702551099971e-01,3.954313439026005961e-01
-6.634552305903368419e-01,1.953449055340247473e-02
